-4.98829506436	-4172.49879238	356.592592031	-4697.13779925	-3002.55450024	-4885.68397644	-3459.31360832
-4.48946672365	-4222.23368562	338.275512312	-4697.13779925	-3002.55450024	-4898.78471025	-3545.682661
-3.99063812396	-4210.64871495	371.56198542	-4701.32859791	-3002.55450024	-4953.77268579	-3467.52474411
-3.49180926527	-4221.17483557	374.027657983	-4710.82894912	-3002.55450024	-4969.23015153	-3473.1195196
-2.99298014755	-4221.34161654	379.432480924	-4710.82894912	-3002.55450024	-4980.20657839	-3462.47665469
-2.49415077078	-4250.11797369	358.779314418	-4714.39042232	-3002.55450024	-4967.67660252	-3532.55934485
-1.99532113491	-4278.02266665	339.704896612	-4726.06164425	-3002.55450024	-4957.43245987	-3598.61287342
-1.49649123993	-4287.60778428	324.739341988	-4726.06164425	-3002.55450024	-4937.08646826	-3638.12910031
-0.997661085806	-4308.40496495	272.517545108	-4726.06164425	-3002.55450024	-4853.44005517	-3763.36987474
-0.498830672505	-4312.80164248	277.463202339	-4726.06164425	-3002.55450024	-4867.72804716	-3757.8752378
0	-4336.82754979	273.543109637	-4726.06164425	-3002.55450024	-4883.91376906	-3789.74133051
0.498830931737	-4357.67147457	246.062361112	-4726.06164425	-3002.55450024	-4849.7961968	-3865.54675235
0.997662122735	-4367.07477998	240.246847415	-4726.06164425	-3002.55450024	-4847.56847481	-3886.58108515
1.49649357302	-4371.58418142	221.295330835	-4729.90361642	-3002.55450024	-4814.17484309	-3928.99351975
1.99532528263	-4363.44142574	214.193915813	-4733.83546309	-3002.55450024	-4791.82925737	-3935.05359411
2.49415725159	-4369.18788081	230.239446004	-4733.83546309	-3002.55450024	-4829.66677282	-3908.7089888
2.99298947992	-4347.59221404	246.211773663	-4733.83546309	-3002.55450024	-4840.01576137	-3855.16866672
3.49182196766	-4348.47802555	240.182577499	-4733.83546309	-3002.55450024	-4828.84318054	-3868.11287055
3.99065471483	-4347.63647455	230.474669211	-4733.83546309	-3002.55450024	-4808.58581297	-3886.68713613
4.48948772146	-4339.42561014	217.025718865	-4733.83546309	-3002.55450024	-4773.47704787	-3905.37417241
4.98832098759	-4338.83340771	228.551456365	-4733.83546309	-3002.55450024	-4795.93632044	-3881.73049498
