> Cross profile number -L0-000 at  -42.848/029.328 az=-03.2
-42.8331989557	29.1033605356	-24.941555334	356.812086249	-2400.02513714
-42.833485162	29.1078501798	-24.4427315178	356.812086249	-2363.1474682
-42.8337713934	29.1123398234	-23.9439074045	356.811947033	-2334.0266547
-42.8340576497	29.1168294665	-23.445082994	356.811807784	-2305.14581304
-42.834343931	29.1213191089	-22.9462582864	356.811668504	-2289.22612075
-42.8346302372	29.1258087507	-22.4474332816	356.811529192	-2287.73737839
-42.8349165685	29.1302983919	-21.9486079796	356.811389848	-2295.96047582
-42.8352029248	29.1347880325	-21.4497823803	356.811250473	-2254.80447588
-42.8354893061	29.1392776725	-20.9509564837	356.811111065	-2192.78209585
-42.8357757125	29.1437673119	-20.4521302898	356.810971627	-2118.42123383
-42.8360621438	29.1482569506	-19.9533037986	356.810832155	-2039.67235382
-42.8363486002	29.1527465888	-19.4544770101	356.810692653	-2004.80803174
-42.8366350817	29.1572362263	-18.9556499241	356.810553118	-1978.51650868
-42.8369215881	29.1617258633	-18.4568225407	356.810413552	-1968.46669609
-42.8372081197	29.1662154996	-17.9579948598	356.810273954	-1954.59790898
-42.8374946763	29.1707051353	-17.4591668815	356.810134324	-1939.9317335
-42.837781258	29.1751947704	-16.9603386056	356.809994663	-1941.66482947
-42.8380678647	29.1796844049	-16.4615100322	356.809854969	-1961.30092563
-42.8383544966	29.1841740388	-15.9626811613	356.809715244	-1992.35083452
-42.8386411535	29.1886636721	-15.4638519927	356.809575487	-2064.27313661
-42.8389278355	29.1931533048	-14.9650225265	356.809435697	-2157.46235848
-42.8392145426	29.1976429368	-14.4661927627	356.809295877	-2231.72584096
-42.8395012749	29.2021325683	-13.9673627011	356.809156024	-2286.84293081
-42.8397880322	29.2066221991	-13.4685323419	356.809016139	-2345.49278937
-42.8400748147	29.2111118293	-12.9697016849	356.808876223	-2399.44433673
-42.8403616223	29.2156014589	-12.4708707301	356.808736274	-2493.61530215
-42.840648455	29.2200910879	-11.9720394775	356.808596294	-2582.49789633
-42.8409353129	29.2245807163	-11.4732079271	356.808456282	-2651.68272374
-42.841222196	29.2290703441	-10.9743760789	356.808316238	-2690.44300849
-42.8415091042	29.2335599713	-10.4755439327	356.808176162	-2690.69803735
-42.8417960375	29.2380495978	-9.97671148866	356.808036054	-2651.51777778
-42.8420829961	29.2425392237	-9.47787874664	356.807895915	-2589.06301025
-42.8423699798	29.2470288491	-8.97904570665	356.807755743	-2506.57930438
-42.8426569887	29.2515184738	-8.48021236865	356.807615539	-2546.76143684
-42.8429440228	29.2560080979	-7.98137873262	356.807475304	-2637.44482036
-42.8432310821	29.2604977214	-7.48254479853	356.807335037	-2831.87392951
-42.8435181666	29.2649873443	-6.98371056634	356.807194737	-2997.61553244
-42.8438052763	29.2694769665	-6.48487603603	356.807054406	-2998.87095796
-42.8440924112	29.2739665882	-5.98604120758	356.806914043	-2970.8061168
-42.8443795714	29.2784562092	-5.48720608095	356.806773647	-2969.76762371
-42.8446667568	29.2829458296	-4.98837065611	356.806633221	-2955.01895735
-42.8449539674	29.2874354494	-4.48953493303	356.806492761	-2958.25655009
-42.8452412033	29.2919250686	-3.99069891169	356.80635227	-2939.79076737
-42.8455284644	29.2964146872	-3.49186259206	356.806211747	-2913.63428803
-42.8458157508	29.3009043051	-2.99302597411	356.806071192	-2923.92906519
-42.8461030624	29.3053939225	-2.4941890578	356.805930605	-2920.66310312
-42.8463903994	29.3098835392	-1.99535184311	356.805789986	-2909.30751028
-42.8466777616	29.3143731553	-1.49651433002	356.805649335	-2906.29242743
-42.8469651491	29.3188627708	-0.997676518489	356.805508652	-2915.23417222
-42.8472525619	29.3233523857	-0.498838408492	356.805367937	-2917.74484937
-42.84754	29.327842	0	356.80522719	-2923.02779571
-42.8478274634	29.3323316137	0.498838707015	356.805086411	-2907.76131848
-42.8481149521	29.3368212267	0.997677712584	356.804945599	-2890.38399659
-42.8484024662	29.3413108391	1.49651701673	356.804804756	-2872.22541787
-42.8486900056	29.3458004509	1.99535661949	356.804663881	-2863.33850361
-42.8489775703	29.3502900621	2.49419652089	356.804522974	-2872.01957514
-42.8492651603	29.3547796727	2.99303672095	356.804382034	-2911.45186338
-42.8495527757	29.3592692826	3.49187721971	356.804241063	-2973.13015737
-42.8498404165	29.363758892	3.9907180172	356.804100059	-3053.63986431
-42.8501280826	29.3682485007	4.48955911344	356.803959024	-3141.80298158
-42.8504157741	29.3727381088	4.98840050846	356.803817956	-3232.75683959
-42.850703491	29.3772277163	5.48724220229	356.803676856	-3302.45086462
-42.8509912333	29.3817173232	5.98608419496	356.803535724	-3367.49103215
-42.8512790009	29.3862069294	6.4849264865	356.80339456	-3388.82050719
-42.851566794	29.390696535	6.98376907693	356.803253365	-3423.82359773
-42.8518546124	29.3951861401	7.48261196629	356.803112136	-3434.1625096
-42.8521424563	29.3996757445	7.98145515461	356.802970876	-3439.05876792
-42.8524303256	29.4041653482	8.48029864191	356.802829584	-3444.67873285
-42.8527182203	29.4086549514	8.97914242822	356.802688259	-3431.03133306
-42.8530061404	29.4131445539	9.47798651357	356.802546903	-3385.20165092
-42.853294086	29.4176341559	9.97683089799	356.802405514	-3383.95631972
-42.853582057	29.4221237572	10.4756755815	356.802264093	-3384.05958227
-42.8538700535	29.4266133578	10.9745205641	356.80212264	-3465.29101359
-42.8541580755	29.4311029579	11.4733658459	356.801981155	-3538.01976658
-42.8544461229	29.4355925574	11.9722114269	356.801839637	-3594.62546709
-42.8547341958	29.4400821562	12.4710573071	356.801698087	-3601.05993286
