,lon,lat,Txx0,Tyy0,Tzz0,Txy0,Txz0,Tyz0,Txx1,Tyy1,Tzz1,Txy1,Txz1,Tyz1,Txx2,Tyy2,Tzz2,Txy2,Txz2,Tyz2,Txx3,Tyy3,Tzz3,Txy3,Txz3,Tyz3,Txx4,Tyy4,Tzz4,Txy4,Txz4,Tyz4,Txx5,Tyy5,Tzz5,Txy5,Txz5,Tyz5,Txx6,Tyy6,Tzz6,Txy6,Txz6,Tyz6
0,68.1501929132,-20.489778127,-2.12633287693,-1.31490943617,-9.68633144552,-0.412548499033,-0.324651178005,-0.00655005525677,-1.60020546174,-0.602757846267,-9.45519733588,-0.396428543014,-0.531056724029,-0.00205428879506,-1.49546010048,-0.313282846429,-9.12477848902,-0.395860110824,-0.322221031432,0.00722085755404,-1.38487506137,-0.200438328244,-9.13698087461,-0.506464383319,0,0,-1.49546010048,-0.313282846429,-9.12477848902,-0.395860110824,0.212637537629,-0.199707606822,-1.60020546174,-0.602757846267,-9.45519733588,-0.396428543014,0.335675754593,-0.206319462588,-2.12633287693,-1.31490943617,-9.68633144552,-0.412548499033,0.221294720943,-0.199335948171
1,68.1593750499,-20.5042322324,-2.44467723262,-1.64053810562,-10.7428478358,-0.400001292783,-0.372987333467,-0.176707781931,-1.79117169983,-0.81830813332,-10.5034748237,-0.574062895024,-0.38426077936,-0.180603884122,-1.3898853909,-0.406026607326,-10.2652162781,-0.582001977463,-0.19246219199,-0.182798938971,-1.37496873674,-0.196893589031,-10.0794384152,-0.597475258065,0,0,-1.3898853909,-0.406026607326,-10.2652162781,-0.582001977463,0.192227603601,-0.0271780149404,-1.79117169983,-0.81830813332,-10.5034748237,-0.574062895024,0.186936150191,-0.0229782277987,-2.44467723262,-1.64053810562,-10.7428478358,-0.400001292783,0.195960019044,-0.0271767281181
2,68.1685588989,-20.518685823,-2.44617958307,-1.62934209133,-10.5738973727,-0.399626129139,-0.220690652636,-0.180220193209,-1.64918470804,-0.834155097985,-10.4118626811,-0.587738673938,-0.282910346269,-0.398485590643,-1.25903085636,-0.51682465674,-10.1074207796,-0.60382159104,-0.0875807063177,-0.181599933216,-1.20662275776,-0.379542074842,-10.0153782991,-0.670350193792,0,0,-1.25903085636,-0.51682465674,-10.1074207796,-0.60382159104,0.0890417040019,0.191528686815,-1.64918470804,-0.834155097985,-10.4118626811,-0.587738673938,0.104431351514,0.174313073819,-2.44617958307,-1.62934209133,-10.5738973727,-0.399626129139,0.108952913936,0.192119395844
3,68.1777444618,-20.5331388982,-1.95966628922,-1.32251852132,-9.30636751493,-0.40158261566,-0.190313974495,-0.394052210257,-1.44909173152,-0.800915589427,-9.24720025759,-0.584223722188,-0.189273801182,-0.399821340849,-1.21427423755,-0.583881493385,-9.14075547009,-0.569606643273,0.0172691449425,-0.205055363321,-1.21190091019,-0.543127219572,-8.97792804143,-0.551270901747,0,0,-1.21427423755,-0.583881493385,-9.14075547009,-0.569606643273,-0.0279617892678,0.199363036118,-1.44909173152,-0.800915589427,-9.24720025759,-0.584223722188,-0.0429825125516,0.371537543377,-1.95966628922,-1.32251852132,-9.30636751493,-0.40158261566,-0.0328582091675,0.217318398616
4,68.1869317403,-20.5475914576,-1.53029060522,-0.847167752051,-7.58400640259,-0.392831029186,-0.0247624404075,-0.291637686235,-1.25191814363,-0.731106138985,-7.53291804915,-0.44985426412,-0.0207985624838,-0.441002984542,-1.15379763303,-0.453522674844,-7.46611449046,-0.444385408134,-0.00691300987053,-0.199744812987,-1.17251040859,-0.461666968038,-7.4543367087,-0.484214038409,0,0,-1.15379763303,-0.453522674844,-7.46611449046,-0.444385408134,-0.0504015886777,0.241087694445,-1.25191814363,-0.731106138985,-7.53291804915,-0.44985426412,-0.0442434154799,0.224905424028,-1.53029060522,-0.847167752051,-7.58400640259,-0.392831029186,-0.0418569499463,0.071757736236
5,68.1961207358,-20.5620435008,-1.16449328935,-0.33014256827,-5.81725104077,-0.389771666937,0.0053816034353,-0.193451833208,-1.12959053647,-0.409383729484,-5.71682157323,-0.481141848495,0.00894975707306,-0.256972654041,-1.12630098184,-0.338794346806,-5.8547513756,-0.46704781415,0.00336815342191,-0.19841937964,-1.10626857193,-0.347947282264,-5.85004783432,-0.449219108005,0,0,-1.12630098184,-0.338794346806,-5.8547513756,-0.46704781415,0.00801886929568,0.0573419827301,-1.12959053647,-0.409383729484,-5.71682157323,-0.481141848495,0.021809409953,0.220761775189,-1.16449328935,-0.33014256827,-5.81725104077,-0.389771666937,0.0229788700237,0.145698964455
6,68.2053114499,-20.5764950271,-0.791730138719,0.00897283368794,-3.99350578615,-0.398689678996,-0.0965073104117,-0.221379249229,-0.961613815303,-0.228062166983,-4.09505982328,-0.441391767255,-0.095500652876,-0.199332606639,-1.07229244028,-0.229403149825,-4.22225919155,-0.546056349622,0.0130100461513,-0.214711600183,-1.07957077875,-0.234133326544,-4.32988593234,-0.562520251085,0,0,-1.07229244028,-0.229403149825,-4.22225919155,-0.546056349622,0.00274833611038,-0.00188302112356,-0.961613815303,-0.228062166983,-4.09505982328,-0.441391767255,-0.0143759787969,0.0955834602507,-0.791730138719,0.00897283368794,-3.99350578615,-0.398689678996,-0.0159386643461,0.112659869616
7,68.2145038843,-20.5909460363,-0.407017683977,0.335070333919,-2.56370562568,-0.408632356108,-0.185201033607,-0.0705811820121,-0.829487789018,-0.0378505206287,-2.72331822855,-0.410689967856,-0.156749535755,-0.224234357781,-0.999960791735,-0.0894756098273,-2.73919692084,-0.493790549492,-0.0679967304082,-0.114888880614,-1.04037302689,-0.133014002663,-2.83217816707,-0.484484820982,0,0,-0.999960791735,-0.0894756098273,-2.73919692084,-0.493790549492,0.00637224961962,3.65092091537e-07,-0.829487789018,-0.0378505206287,-2.72331822855,-0.410689967856,0.00646160087954,-0.0139081202855,-0.407017683977,0.335070333919,-2.56370562568,-0.408632356108,0.00646160087954,-0.0143856338479
8,68.2236980405,-20.6053965277,-0.319783673711,0.477734567185,-1.55450598005,-0.407035082524,-0.217038093351,0.0136969262622,-0.795809990408,0.266041394656,-1.54960831694,-0.499862356731,-0.196486148584,-0.201482670878,-1.00898864026,0.18236407566,-1.54136071386,-0.502002405408,-0.201801785765,-0.0557085819899,-0.987506366195,0.0574562949956,-1.54063366869,-0.50203180044,0,0,-1.00898864026,0.18236407566,-1.54136071386,-0.502002405408,0.000901298137642,0.000361690097709,-0.795809990408,0.266041394656,-1.54960831694,-0.499862356731,-0.0061476143315,-0.0135132501315,-0.319783673711,0.477734567185,-1.55450598005,-0.407035082524,-0.00614847847209,0.00142284061303
9,68.2328939201,-20.6198465009,-0.158837112458,0.619402896292,-0.441685631902,-0.329596304957,-0.183915522235,-0.152754755378,-0.767394895516,0.478645434671,-0.490379062492,-0.545338254742,-0.179745137634,-0.24405965033,-0.961312309592,0.338972544198,-0.405427830596,-0.531000331387,-0.156384169701,-0.22727331363,-1.0066626713,0.322562826143,-0.414613754717,-0.528139042327,0,0,-0.961312309592,0.338972544198,-0.405427830596,-0.531000331387,0.00648201852247,0.0226677554156,-0.767394895516,0.478645434671,-0.490379062492,-0.545338254742,0.0758873110649,0.129509195498,-0.158837112458,0.619402896292,-0.441685631902,-0.329596304957,0.0749143056706,0.0213646442962
10,68.2420915247,-20.6342959555,0.13368416183,0.890824383048,1.01403347502,-0.408838327265,-0.155202727881,-0.3683343883,-0.555011657181,0.65336181102,1.02145741824,-0.395087437984,-0.158211324011,-0.368425223447,-0.79116486871,0.399950181155,0.976078873697,-0.386672857485,0.0059077829631,-0.20248560186,-1.00052433004,0.402592435181,0.97521887574,-0.439699007593,0,0,-0.79116486871,0.399950181155,0.976078873697,-0.386672857485,0.00039681332715,0.219031723069,-0.555011657181,0.65336181102,1.02145741824,-0.395087437984,-0.000127826891333,0.202971548883,0.13368416183,0.890824383048,1.01403347502,-0.408838327265,4.71904726394e-06,0.159741019695
11,68.2512908559,-20.6487448909,0.702648665754,1.27943438423,2.75401841343,-0.413334643062,-0.0186524788223,-0.212355155685,-0.369458883127,0.72295686735,2.65352506782,-0.29422862213,-0.134559036898,-0.19909700174,-0.8054459052,0.413059762836,2.40651544304,-0.303232200462,-0.117313367688,-0.194355263228,-1.01522768412,0.40873245083,2.29522905373,-0.387668654774,0,0,-0.8054459052,0.413059762836,2.40651544304,-0.303232200462,0.0104559736378,0.0747564212162,-0.369458883127,0.72295686735,2.65352506782,-0.29422862213,0.0143620123641,0.222907969484,0.702648665754,1.27943438423,2.75401841343,-0.413334643062,0.0127924593178,0.00768398297859
