,lon,lat,Txx0,Tyy0,Tzz0,Txy0,Txz0,Tyz0,Txx1,Tyy1,Tzz1,Txy1,Txz1,Tyz1,Txx2,Tyy2,Tzz2,Txy2,Txz2,Tyz2,Txx3,Tyy3,Tzz3,Txy3,Txz3,Tyz3,Txx4,Tyy4,Tzz4,Txy4,Txz4,Tyz4,Txx5,Tyy5,Tzz5,Txy5,Txz5,Tyz5,Txx6,Tyy6,Tzz6,Txy6,Txz6,Tyz6
0,74.9937630051,-29.6565590451,0.07807726084,-0.548698477302,-4.02336732438,-0.219723799863,-0.0116714437115,-0.199849552506,-0.189920656578,-0.972859658815,-4.03774367487,-0.216788043333,0.182878729123,-0.199041532041,-0.411024270146,-1.20059025977,-4.22839082553,-0.418963781846,0.0163099000044,-0.199844889154,-0.409908643324,-1.19832607261,-4.22913214619,-0.408341103387,0,0,-0.411024270146,-1.20059025977,-4.22839082553,-0.418963781846,-0.201314754424,0.015869555411,-0.189920656578,-0.972859658815,-4.03774367487,-0.216788043333,-0.199039458795,0.202088392131,0.07807726084,-0.548698477302,-4.02336732438,-0.219723799863,-0.201445960389,-0.0106594718155
1,75.0055169874,-29.6700870613,0.433981574454,-0.216725696184,-2.96130948096,-0.218867630908,-3.46885033034e-05,-0.200858439576,0.0224572076171,-0.817107857241,-2.97457907397,-0.389529373765,0.04156580593,-0.204875937858,-0.351494029641,-1.24304555276,-2.98934498724,-0.423211247236,0.0239320189756,-0.205019511716,-0.370971425409,-1.25611809842,-3.15177171088,-0.422664452816,0,0,-0.351494029641,-1.24304555276,-2.98934498724,-0.423211247236,-0.21172595722,-0.00595181962616,0.0224572076171,-0.817107857241,-2.97457907397,-0.389529373765,-0.211895285144,0.203913359996,0.433981574454,-0.216725696184,-2.96130948096,-0.218867630908,-0.211448394738,-0.000603055543586
2,75.0172741001,-29.6836140033,0.823186365236,0.119833556664,-2.03122296777,-0.41062397712,0.00172797327845,-0.200225844962,0.103167271211,-0.788084023984,-2.1283071938,-0.508349693089,0.103937352876,-0.200541712652,-0.321553811251,-1.28974565598,-2.34118926935,-0.599137626427,0.00182017128575,-0.200314376382,-0.410287915895,-1.48942153078,-2.32798343879,-0.599219174325,0,0,-0.321553811251,-1.28974565598,-2.34118926935,-0.599137626427,-0.0908981821831,0.000633473923978,0.103167271211,-0.788084023984,-2.1283071938,-0.508349693089,-0.0794471962062,0.212056012578,0.823186365236,0.119833556664,-2.03122296777,-0.41062397712,-0.0908981821831,0.000271164024011
3,75.0290343455,-29.6971398703,0.966784505519,0.230183339083,-1.6491900716,-0.441572311358,-0.0393470921481,-0.198901121026,0.150723689468,-0.788442525692,-1.84328979277,-0.64448221884,-0.0488696180908,-0.206490074567,-0.250656682332,-1.37428264993,-2.20195452729,-0.792968547244,-0.0394517257903,-0.0194620152353,-0.406777471649,-1.58925776367,-2.23864452473,-0.793023329753,0,0,-0.250656682332,-1.37428264993,-2.20195452729,-0.792968547244,0.0095407011221,-0.00755584645248,0.150723689468,-0.788442525692,-1.84328979277,-0.64448221884,0.00822285466234,0.0224742670036,0.966784505519,0.230183339083,-1.6491900716,-0.441572311358,0.0095407011221,-0.00275303210043
4,75.0407977259,-29.7106646615,0.838175827065,0.225785724382,-2.25166887303,-0.590113525991,-0.193803216316,-0.0291921516676,0.0188006906414,-0.970270128828,-2.45121126567,-0.786028107781,-0.193836059376,0.156874631224,-0.214075877773,-1.58741811524,-2.85152291428,-0.962339283024,-0.205186536524,-0.00871024795033,-0.398250613427,-1.60750473273,-2.86421412462,-0.96261351251,0,0,-0.214075877773,-1.58741811524,-2.85152291428,-0.962339283024,-0.00017328875363,-0.170286033105,0.0188006906414,-0.970270128828,-2.45121126567,-0.786028107781,-0.00466499360204,-0.160892672962,0.838175827065,0.225785724382,-2.25166887303,-0.590113525991,-0.00017328875363,-0.170742015415
5,75.0525642436,-29.7241883759,0.249875660096,-0.116961227531,-3.7526288571,-0.763205543851,-0.2139620173,0.159722516679,-0.133075266301,-1.05119321659,-3.96284968806,-1.09106522946,-0.206095891445,0.344796247024,-0.321284320568,-1.48054598633,-4.19046106843,-1.2985407705,-0.156783300528,0.156963257681,-0.378498901608,-1.61791040652,-4.21055494671,-1.41066302074,0,0,-0.321284320568,-1.48054598633,-4.19046106843,-1.2985407705,-0.00971877355717,-0.38102585056,-0.133075266301,-1.05119321659,-3.96284968806,-1.09106522946,0.0295709435385,-0.412207167999,0.249875660096,-0.116961227531,-3.7526288571,-0.763205543851,-0.00650673650053,-0.379228168962
6,75.0643339011,-29.7377110128,-0.452692218835,-0.737702737135,-5.64124694664,-0.806889405752,-0.0482620700917,0.31328225006,-0.391429805678,-1.09491468843,-5.67817720748,-1.45545261717,-0.0342292562863,0.503956554383,-0.450531889952,-1.35035483965,-5.78473045319,-1.6416745126,-0.0517785562139,0.306271871723,-0.458062065972,-1.40360141455,-5.78509135323,-1.74429970391,0,0,-0.450531889952,-1.35035483965,-5.78473045319,-1.6416745126,-0.0408959822694,-0.385576912321,-0.391429805678,-1.09491468843,-5.67817720748,-1.45545261717,-0.0392275864246,-0.551848654769,-0.452692218835,-0.737702737135,-5.64124694664,-0.806889405752,-0.0519737231534,-0.374048495662
7,75.0761067005,-29.7512325713,-0.963787475726,-1.16933968975,-6.87619121175,-0.800521099421,0.146637018201,0.320983936803,-0.743627469876,-0.964730323192,-6.88718331675,-1.61802175459,0.142108085983,0.544384647686,-0.614387925863,-1.05816002327,-6.96910991809,-1.96213936388,0.146642381017,0.324346150767,-0.618126073328,-0.911262759459,-6.8293904328,-2.02509878844,0,0,-0.614387925863,-1.05816002327,-6.96910991809,-1.96213936388,-0.204105947689,-0.400255554812,-0.743627469876,-0.964730323192,-6.88718331675,-1.61802175459,-0.338936408304,-0.597601575268,-0.963787475726,-1.16933968975,-6.87619121175,-0.800521099421,-0.208035588514,-0.406316297188
8,75.0878826442,-29.7647530505,-1.20251407171,-1.23577516342,-6.81026868856,-0.799116759172,0.299971438632,0.261385970523,-0.989595220472,-0.7225656535,-6.76929662207,-1.61969073178,0.495068556862,0.3315921964,-0.927367902965,-0.590124867289,-6.6210983881,-2.0997321771,0.315305670723,0.269412720958,-0.929154037483,-0.362660505328,-6.62672313079,-2.1936990897,0,0,-0.927367902965,-0.590124867289,-6.6210983881,-2.0997321771,-0.31591533637,-0.235159704727,-0.989595220472,-0.7225656535,-6.76929662207,-1.61969073178,-0.529919344171,-0.470318990423,-1.20251407171,-1.23577516342,-6.81026868856,-0.799116759172,-0.312737429503,-0.311504541144
9,75.0996617345,-29.7782724496,-0.889613138812,-0.803759963507,-4.79827571816,-0.81741759578,0.549850850998,0.114886337524,-1.01460056685,-0.262126696227,-4.75336428085,-1.51978096607,0.74253201471,0.106441487162,-1.11301132238,0.00298668235683,-4.68726659227,-1.9283453376,0.422925694716,0.0551487267198,-1.09958187459,0.107954509898,-4.61966598975,-2.14886306623,0,0,-1.11301132238,0.00298668235683,-4.68726659227,-1.9283453376,-0.537625542542,-0.156978439991,-1.01460056685,-0.262126696227,-4.75336428085,-1.51978096607,-0.724758074374,-0.260432135218,-0.889613138812,-0.803759963507,-4.79827571816,-0.81741759578,-0.523337950281,-0.140830686449
