102.525084891	-48.0151128722
102.503715636	-48.0067809523
102.482353243	-47.9984450545
102.460997713	-47.9901051811
102.439649044	-47.9817613345
102.418307236	-47.9734135171
102.396972286	-47.9650617314
102.375644195	-47.9567059797
102.354322961	-47.9483462645
102.333008584	-47.9399825881
102.311701062	-47.931614953
102.290400394	-47.9232433615
102.269106579	-47.9148678161
102.247819617	-47.9064883192
102.226539507	-47.8981048731
102.205266246	-47.8897174803
102.183999835	-47.8813261431
102.162740273	-47.872930864
102.141487558	-47.8645316453
102.120241689	-47.8561284894
102.099002665	-47.8477213988
102.077770485	-47.8393103758
102.056545149	-47.8308954229
102.035326655	-47.8224765424
102.014115002	-47.8140537366
101.992910188	-47.8056270081
101.971712214	-47.7971963592
101.950521078	-47.7887617922
101.929336779	-47.7803233096
101.908159315	-47.7718809138
101.886988686	-47.7634346071
101.865824891	-47.7549843919
101.844667928	-47.7465302706
101.823517797	-47.7380722457
101.802374496	-47.7296103194
101.781238024	-47.7211444942
101.760108381	-47.7126747724
101.738985564	-47.7042011565
101.717869573	-47.6957236488
101.696760408	-47.6872422516
101.675658065	-47.6787569675
101.654562546	-47.6702677987
101.633473848	-47.6617747476
101.61239197	-47.6532778166
